,date,close,,,,,,,,,,
,"Jul 9, 2009",136.36,,,,,,,,,,
,"Jul 8, 2009",137.22,,,,,,,,,,
,"Jul 7, 2009",135.40,,,,,,,,,,
,"Jul 6, 2009",138.61,,,,,,,,,,
,"Jul 3, 2009",140.02,,,,,,,,,,
,"Jul 2, 2009",140.02,,,,,,,,,,
,"Jul 1, 2009",142.83,,,,,,,,,,
,"Jun 30, 2009",142.43,,,,,,,,,,
,"Jun 29, 2009",141.97,,,,,,,,,,
,"Jun 26, 2009",142.44,,,,,,,,,,
,"Jun 25, 2009",139.86,,,,,,,,,,
,"Jun 24, 2009",136.22,,,,,,,,,,
,"Jun 23, 2009",134.01,,,,,,,,,,
,"Jun 22, 2009",137.37,,,,,,,,,,
,"Jun 19, 2009",139.48,,,,,,,,,,
,"Jun 18, 2009",135.88,,,,,,,,,,
,"Jun 17, 2009",135.58,,,,,,,,,,
,"Jun 16, 2009",136.35,,,,,,,,,,
,"Jun 15, 2009",136.09,,,,,,,,,,
,"Jun 12, 2009",136.97,,,,,,,,,,
,"Jun 11, 2009",139.95,,,,,,,,,,
,"Jun 10, 2009",140.25,,,,,,,,,,
,"Jun 9, 2009",142.72,,,,,,,,,,
,"Jun 8, 2009",143.85,,,,,,,,,,
,"Jun 5, 2009",144.67,,,,,,,,,,
,"Jun 4, 2009",143.74,,,,,,,,,,
,"Jun 3, 2009",140.95,,,,,,,,,,
,"Jun 2, 2009",139.49,,,,,,,,,,
,"Jun 1, 2009",139.35,,,,,,,,,,
,"May 29, 2009",135.81,,,,,,,,,,
,"May 28, 2009",135.07,,,,,,,,,,
,"May 27, 2009",133.05,,,,,,,,,,
,"May 26, 2009",130.78,,,,,,,,,,
,"May 22, 2009",122.50,,,,,,,,,,
,"May 21, 2009",124.18,,,,,,,,,,
,"May 20, 2009",125.87,,,,,,,,,,
,"May 19, 2009",127.45,,,,,,,,,,
,"May 18, 2009",126.65,,,,,,,,,,
,"May 15, 2009",122.42,,,,,,,,,,
,"May 14, 2009",122.95,,,,,,,,,,
,"May 13, 2009",119.49,,,,,,,,,,
,"May 12, 2009",124.42,,,,,,,,,,
,"May 11, 2009",129.57,,,,,,,,,,
,"May 8, 2009",129.19,,,,,,,,,,
,"May 7, 2009",129.06,,,,,,,,,,
,"May 6, 2009",132.50,,,,,,,,,,
,"May 5, 2009",132.71,,,,,,,,,,
,"May 4, 2009",132.07,,,,,,,,,,
,"May 1, 2009",127.24,,,,,,,,,,
,"Apr 30, 2009",125.83,,,,,,,,,,
,"Apr 29, 2009",125.14,,,,,,,,,,
,"Apr 28, 2009",123.90,,,,,,,,,,
,"Apr 27, 2009",124.73,,,,,,,,,,
,"Apr 24, 2009",123.90,,,,,,,,,,
,"Apr 23, 2009",125.40,,,,,,,,,,
,"Apr 22, 2009",121.51,,,,,,,,,,
,"Apr 21, 2009",121.76,,,,,,,,,,
,"Apr 20, 2009",120.50,,,,,,,,,,
,"Apr 17, 2009",123.42,,,,,,,,,,
,"Apr 16, 2009",121.45,,,,,,,,,,
,"Apr 15, 2009",117.64,,,,,,,,,,
,"Apr 14, 2009",118.31,,,,,,,,,,
,"Apr 13, 2009",120.22,,,,,,,,,,
,"Apr 10, 2009",119.57,,,,,,,,,,
,"Apr 9, 2009",119.57,,,,,,,,,,
,"Apr 8, 2009",116.32,,,,,,,,,,
,"Apr 7, 2009",115.00,,,,,,,,,,
,"Apr 6, 2009",118.45,,,,,,,,,,
,"Apr 3, 2009",115.99,,,,,,,,,,
,"Apr 2, 2009",112.71,,,,,,,,,,
,"Apr 1, 2009",108.69,,,,,,,,,,
,"Mar 31, 2009",105.12,,,,,,,,,,
,"Mar 30, 2009",104.49,,,,,,,,,,
,"Mar 27, 2009",106.85,,,,,,,,,,
,"Mar 26, 2009",109.87,,,,,,,,,,
,"Mar 25, 2009",106.49,,,,,,,,,,
